Date,NumberAdmitted,SevenDayAverage,SevenDayAverageQF
20200616,5,5.571428571,""
20200617,6,5.285714286,""
20200618,4,4.857142857,""
20200619,4,5.142857143,""
20200620,2,4.857142857,""
20200621,1,4.142857143,""
20200622,7,4.142857143,""
20200623,6,4.285714286,""
20200624,4,4,""
20200625,2,3.714285714,""
20200626,1,3.285714286,""
20200627,4,3.571428571,""
20200628,3,3.857142857,""
20200629,2,3.142857143,""
20200630,0,2.285714286,""
20200701,3,2.142857143,""
20200702,2,2.142857143,""
20200703,2,2.285714286,""
20200704,1,1.857142857,""
20200705,2,1.714285714,""
20200706,3,1.857142857,""
20200707,1,2,""
20200708,1,1.714285714,""
20200709,0,1.428571429,""
20200710,4,1.714285714,""
20200711,3,2,""
20200712,1,1.857142857,""
20200713,1,1.571428571,""
20200714,0,1.428571429,""
20200715,1,1.428571429,""
20200716,3,1.857142857,""
20200717,2,1.571428571,""
20200718,1,1.285714286,""
20200719,2,1.428571429,""
20200720,0,1.285714286,""
20200721,1,1.428571429,""
20200722,2,1.571428571,""
20200723,3,1.571428571,""
20200724,1,1.428571429,""
20200725,6,2.142857143,""
20200726,0,1.857142857,""
20200727,3,2.285714286,""
20200728,0,2.142857143,""
20200729,3,2.285714286,""
20200730,3,2.285714286,""
20200731,3,2.571428571,""
20200801,2,2,""
20200802,0,2,""
20200803,4,2.142857143,""
20200804,3,2.571428571,""
20200805,5,2.857142857,""
20200806,1,2.571428571,""
20200807,4,2.714285714,""
20200808,3,2.857142857,""
20200809,0,2.857142857,""
20200810,5,3,""
20200811,2,2.857142857,""
20200812,2,2.428571429,""
20200813,3,2.714285714,""
20200814,6,3,""
20200815,7,3.571428571,""
20200816,2,3.857142857,""
20200817,6,4,""
20200818,5,4.428571429,""
20200819,6,5,""
20200820,8,5.714285714,""
20200821,4,5.428571429,""
20200822,5,5.142857143,""
20200823,1,5,""
20200824,8,5.285714286,""
20200825,11,6.142857143,""
20200826,11,6.857142857,""
20200827,9,7,""
20200828,5,7.142857143,""
20200829,4,7,""
20200830,3,7.285714286,""
20200831,5,6.857142857,""
20200901,3,5.714285714,""
20200902,8,5.285714286,""
20200903,3,4.428571429,""
20200904,15,5.857142857,""
20200905,8,6.428571429,""
20200906,7,7,""
20200907,11,7.857142857,""
20200908,11,9,""
20200909,7,8.857142857,""
20200910,19,11.14285714,""
20200911,19,11.71428571,""
20200912,14,12.57142857,""
20200913,12,13.28571429,""
20200914,16,14,""
20200915,20,15.28571429,""
20200916,33,19,""
20200917,19,19,""
20200918,14,18.28571429,""
20200919,18,18.85714286,""
20200920,18,19.71428571,""
20200921,24,20.85714286,""
20200922,31,22.42857143,""
20200923,24,21.14285714,""
20200924,32,23,""
20200925,37,26.28571429,""
20200926,34,28.57142857,""
20200927,31,30.42857143,""
20200928,44,33.28571429,""
20200929,31,33.28571429,""
20200930,48,36.71428571,""
20201001,60,40.71428571,""
20201002,54,43.14285714,""
20201003,44,44.57142857,""
20201004,41,46,""
20201005,69,49.57142857,""
20201006,91,58.14285714,""
20201007,77,62.28571429,""
20201008,93,67,""
20201009,76,70.14285714,""
20201010,71,74,""
20201011,79,79.42857143,""
20201012,102,84.14285714,""
20201013,116,87.71428571,""
20201014,114,93,""
20201015,104,94.57142857,""
20201016,126,101.7142857,""
20201017,82,103.2857143,""
20201018,83,103.8571429,""
20201019,128,107.5714286,""
20201020,130,109.5714286,""
20201021,128,111.5714286,""
20201022,127,114.8571429,""
20201023,122,114.2857143,""
20201024,115,119,""
20201025,108,122.5714286,""
20201026,130,122.8571429,""
20201027,128,122.5714286,""
20201028,122,121.7142857,""
20201029,95,117.1428571,""
20201030,119,116.7142857,""
20201031,102,114.8571429,""
20201101,94,112.8571429,""
20201102,106,109.4285714,""
20201103,106,106.2857143,""
20201104,113,105,""
20201105,97,105.2857143,""
20201106,95,101.8571429,""
20201107,83,99.14285714,""
20201108,76,96.57142857,""
20201109,97,95.28571429,""
20201110,100,94.42857143,""
20201111,115,94.71428571,""
20201112,110,96.57142857,""
20201113,106,98.14285714,""
20201114,96,100,""
20201115,90,102,""
20201116,92,101.2857143,""
20201117,108,102.4285714,""
20201118,92,99.14285714,""
20201119,95,97,""
20201120,104,96.71428571,""
20201121,86,95.28571429,""
20201122,64,91.57142857,""
20201123,105,93.42857143,""
20201124,102,92.57142857,""
20201125,85,91.57142857,""
20201126,101,92.42857143,""
20201127,93,90.85714286,""
20201128,62,87.42857143,""
20201129,65,87.57142857,""
20201130,86,84.85714286,""
20201201,81,81.85714286,""
20201202,105,84.71428571,""
20201203,75,81,""
20201204,88,80.28571429,""
20201205,80,82.85714286,""
20201206,63,82.57142857,""
20201207,90,83.14285714,""
20201208,105,86.57142857,""
20201209,93,84.85714286,""
20201210,92,87.28571429,""
20201211,91,87.71428571,""
20201212,68,86,""
20201213,72,87.28571429,""
20201214,92,87.57142857,""
20201215,83,84.42857143,""
20201216,108,86.57142857,""
20201217,97,87.28571429,""
20201218,88,86.85714286,""
20201219,93,90.42857143,""
20201220,68,89.85714286,""
20201221,105,91.71428571,""
20201222,101,94.28571429,""
20201223,101,93.28571429,""
20201224,97,93.28571429,""
20201225,80,92.14285714,""
20201226,108,94.28571429,""
20201227,145,105.2857143,""
20201228,151,111.8571429,""
20201229,153,119.2857143,""
20201230,186,131.4285714,""
20201231,169,141.7142857,""
20210101,136,149.7142857,""
20210102,150,155.7142857,""
20210103,137,154.5714286,""
20210104,186,159.5714286,""
20210105,193,165.2857143,""
20210106,203,167.7142857,""
20210107,199,172,""
20210108,198,180.8571429,""
20210109,179,185,""
20210110,163,188.7142857,""
20210111,240,196.4285714,""
20210112,203,197.8571429,""
20210113,178,194.2857143,""
20210114,202,194.7142857,""
20210115,176,191.5714286,""
20210116,169,190.1428571,""
20210117,158,189.4285714,""
20210118,173,179.8571429,""
20210119,194,178.5714286,""
20210120,181,179,""
20210121,190,177.2857143,""
20210122,166,175.8571429,""
20210123,142,172,""
20210124,120,166.5714286,""
20210125,146,162.7142857,""
20210126,151,156.5714286,""
20210127,151,152.2857143,""
20210128,136,144.5714286,""
20210129,146,141.7142857,""
20210130,114,137.7142857,""
20210131,100,134.8571429,""
20210201,122,131.4285714,""
20210202,109,125.4285714,""
20210203,110,119.5714286,""
20210204,108,115.5714286,""
20210205,114,111,""
20210206,89,107.4285714,""
20210207,92,106.2857143,""
20210208,80,100.2857143,""
20210209,94,98.14285714,""
20210210,79,93.71428571,""
20210211,91,91.28571429,""
20210212,87,87.42857143,""
20210213,69,84.57142857,""
20210214,62,80.28571429,""
20210215,82,80.57142857,""
20210216,94,80.57142857,""
20210217,66,78.71428571,""
20210218,71,75.85714286,""
20210219,85,75.57142857,""
20210220,76,76.57142857,""
20210221,63,76.71428571,""
20210222,69,74.85714286,""
20210223,58,69.71428571,""
